Identificacion;Nombre;Apellido;Telefono;Fecha Nacimiento;Tipo;Especialidad
1014002455;Isabela;Betancur;3437151930;12/03/1984;Cliente;
1014019418;Juan;Alzate;3252105758;13/07/1987;Cliente;
1014166226;Isabella;Escobar;3150339356;9/11/1988;Cliente;
1014433488;Juan;Rodriguez;3242557898;14/11/1977;Cliente;
1014773998;Angel;Londoño;3372290554;22/07/1976;Cliente;
1015141528;Esteban;Gil;3128197184;5/06/1981;Cliente;
1015916496;Esteban;Barrera;3155681884;27/04/1987;Cliente;
1016133613;Santiago;Gaviria;3031521231;24/10/1959;Cliente;
1017009140;Juan;Ramirez;3073085559;22/09/1987;Empleado;1014
1017063512;Sebastian;Vallejo;3050509311;18/03/1995;Cliente;
1017504976;Miguel;Gomez;3413918923;29/04/1990;Cliente;
1019539470;Andrés;Lopez;3409677856;3/10/1982;Cliente;
1019815294;Manuel;Valencia;3242518965;7/11/1960;Cliente;
1019931897;Miguel;Murillo;3042152279;3/03/2007;Cliente;
1020013425;Miguel;Cardona;3187412715;18/05/1988;Cliente;
1020940370;Juan;Muñoz;3035950860;3/01/1988;Empleado;1009
1020963240;Kevin;Cardona;3414514635;16/05/2007;Cliente;
1023118046;Luis;Zuleta;3236599785;15/05/1992;Cliente;
1023733518;Luis;Lopez;3049272564;14/11/1993;Cliente;
1024124636;Alexander;Lopez;3377535086;26/03/1981;Cliente;
1024127004;Angel;Gil;3296737379;14/08/2002;Cliente;
1024593005;Santiago;Pino;3408383230;8/03/2003;Empleado;1020
1024726674;Camila;Gil;3135316821;16/02/1989;Cliente;
1024903580;Juan;Lotero;3068604607;20/08/1986;Cliente;
1026087392;Juan;Arenas;3320366762;15/07/1966;Cliente;
1027093483;Santiago;Mejia;3097805038;18/01/1992;Empleado;1008
1027944742;Angel;Vélez;3138795446;8/12/1992;Empleado;1013
1028006953;Juan;Romero;3177559431;16/04/1959;Cliente;
1028111662;Cristian;Ruiz;3148913739;15/05/2008;Cliente;
1028617062;Juan;Mejia;3210945135;23/04/1990;Cliente;
1028648436;Jose;Arboleda;3491121686;10/03/1980;Cliente;
1029337079;Sara;Rodriguez;3406599154;13/06/1975;Cliente;
1029810064;Thomas;Layos;3274188070;13/06/1993;Cliente;
1030568069;Mariana;Rodriguez;3096099964;30/12/1996;Cliente;
1032346225;Sebastian;Urrego;3366597099;4/09/1973;Cliente;
1032409145;Elias;Avila;3173239238;27/11/1968;Cliente;
1032518631;Juan;Franco;3035897653;14/11/2000;Cliente;
1032757796;Melany;Ruiz;3334328523;3/07/2001;Cliente;
1033185889;David;Velez;3357640420;26/10/1977;Cliente;
1034891536;Sara;Orlas;3252888085;19/11/1986;Cliente;
1035777554;Camilo;Taborda;3160325639;30/03/1977;Cliente;
1036195700;Alexander;Layos;3247045019;21/05/1982;Cliente;
1036372542;Juan;Vargas;3215207298;17/03/1985;Cliente;
1036776626;Stiven;Cabrera;3104198405;17/08/1978;Cliente;
1037236707;Cristian;Muñoz;3123234558;12/05/1984;Cliente;
1037398488;Miguel;Restrepo;3225206055;20/01/2003;Cliente;
1037596339;Angel;Gil;3334863290;17/07/2003;Cliente;
1037767666;Juan;Herrera;3125599992;23/01/1959;Empleado;1003
1037910612;Santiago;Bedoya;3300606828;5/11/1986;Cliente;
1037975923;Guillermo;Velasquez;3114418303;1/02/1976;Cliente;
1038443625;Jorman;Zapata;3142460818;4/07/1962;Cliente;
1038776733;Luna;Calderon;3293369368;9/12/1968;Cliente;
1038838662;Juana;Lotero;3453087165;12/04/1963;Cliente;
1038978305;Felipe;Muñoz;3066732853;27/05/1977;Empleado;1016
1039227124;Nicole;Henao;3033180730;13/08/2005;Cliente;
1040119339;Jhojans;Giraldo;3119891766;21/07/1994;Cliente;
1040225234;Angel;Lopera;3218216211;21/05/1985;Cliente;
1040434880;Juan;Vargas;3164685270;27/05/1974;Cliente;
1040453261;Esteban;Guevara;3385270495;31/07/1999;Empleado;1020
1042041994;Maximiliano;Taborda;3179794756;14/01/1972;Cliente;
1042176851;Santiago;Lopez;3247201339;24/03/1988;Cliente;
1043014576;Samuel;Jimenez;3156709702;30/03/1964;Empleado;1014
1043251498;Pablo;Obando;3426481437;2/02/1973;Cliente;
1043381443;Duvan;Valencia;3429314962;21/10/1991;Cliente;
1044239764;Jose;Henao;3123329814;27/11/1974;Cliente;
1044246123;Camila;Romero;3391599302;19/10/1972;Cliente;
1044560608;Jose;Vallejo;3017684529;15/01/1962;Cliente;
1044610644;Camila;Zapata;3238023893;4/08/1981;Cliente;
